clnt_id,clnt_gender,clnt_age,clnt_device,clnt_device_get,has_car,has_estate,clnt_children,clnt_income,clnt_pick,clnt_fortune,clnt_status,clnt_system,spend_last,spend_level,spend_points,manager_contact,is_premium
2080,0,32,KnasAzg4Vf,zY5grwt3TK2vXDNOXNtQ,1,0,1,350000,6,13,0,2,1428,400,63,7228,1
2084,1,29,tyOjI2@FcB,4tn4ahgRkWMzsSCk5tnp,,1,1,80000,3,17,10,1,1428,1500,34,7227,1
2090,1,22,KnasAzg4Vf,RKcjWOC0kWGyGsDi325Q,0,0,0,340000,3,14,4,1,1428,200,107,7227,1
2092,,25,A&D5V21q5$,duj1wNy6PQygCaQYt6ze,0,0,0,360000,4,16,12,2,1428,228,292,7227,1
2094,1,35,$pffcP&pkj,apqNDBwDXCytWs6F1c29,0,0,1,100000,5,18,6,1,1428,3120,151,7227,1
2099,1,24,tZet+bbIC_,a25dNMsZKjRHnhp7WJkD,1,0,0,360000,0,23,6,1,1428,5400,23,7227,1
2100,1,35,pi&NYvrpiu,zPz024CQIonY5H9jYIve,1,0,1,360000,4,6,0,1,1428,400,90,7227,1
2102,1,37,m1o4W&JCvy,vtFJx028ksA5j1r4Gevb,1,0,0,0,4,8,6,2,1428,500,98,7227,1
2103,1,32,N)Eb*EJXD4,xwVatkCS227il3xATBFE,0,0,0,320000,7,9,6,1,1428,255,297,7227,1
2104,1,25,^+3(I8C%&b,6153L0t8XPPwrqlaHrPc,0,0,0,30000,6,10,4,1,1428,60,91,7227,1
2106,1,28,Nljw_d_PZV,4tn4ahgRkWMzsSCk5tnp,0,1,0,270000,4,12,6,2,1428,900,193,7227,1
2109,0,22,rreI!9jkPq,U5K7lQEiD5wBoxQfY6Tz,1,0,0,160000,9,15,9,1,1428,4000,39,7227,1
2115,1,22,N)Eb*EJXD4,qhf9RhOTHsX15m3UzA94,0,0,1,40000,6,12,3,2,1428,200,199,7228,1
2121,0,20,m1o4W&JCvy,JZ0KLFgkXP3A9WMANoni,0,0,0,270000,6,9,6,1,1428,750,132,7122,1
2123,1,24,tyOjI2@FcB,RD8BUJjq4e1qknku300N,0,0,0,290000,9,11,0,1,1428,2000,185,7227,1
2127,1,30,WUn^8@yRRZ,nrQMSSqhv27ILkeKQI8X,1,0,1,220000,8,15,12,1,1428,1200,185,7227,1
2130,1,22,m4Onx$jC_+,duj1wNy6PQygCaQYt6ze,1,0,0,210000,5,9,6,1,1428,1600,104,7227,1
2142,0,28,T+BA%psI8c,NJRRltMExbMcFROsvdGD,1,0,1,350000,5,12,6,2,1428,400,186,7122,1
2158,0,23,Nljw_d_PZV,ZRg0ZwLzu2FL5jted9eX,0,1,0,130000,7,19,11,2,1428,864,27,7227,1
2170,0,22,+d)U@Ozdq@,U5K7lQEiD5wBoxQfY6Tz,1,0,0,200000,7,13,12,1,1355,970,94,7230,1
2174,0,23,"",RKcjWOC0kWGyGsDi325Q,1,0,0,380000,8,17,15,1,1428,1520,161,7227,1
2176,1,23,+qOE#oK7Bu,AEvBGGIi1TYMZpsS5CoK,0,0,0,360000,0,19,10,1,1428,1500,0,7227,1
2178,1,29,R6B&KN5OOi,a25dNMsZKjRHnhp7WJkD,1,0,1,140000,0,21,15,1,1428,440,70,7228,1
2188,0,38,^+3(I8C%&b,DAHGwLtn4JPcATVSWFHk,1,0,1,70000,4,22,10,2,1428,330,63,7227,1
2193,0,28,K*)FJ)edcZ,u6H8Em4pxxagN7S8TAR5,0,0,0,30000,3,18,15,2,1428,800,332,7227,1
2199,0,25,m4Onx$jC_+,yHrDLKQ3V9TnmM5OZdNu,1,0,0,140000,5,24,15,1,1428,200,43,7227,1
2209,1,27,vJ#XVpcNy6,vgIXi0LgoZHQ71Mmekm1,0,0,1,390000,9,16,1,1,1428,500,95,7239,1
2211,1,28,&qrVc7H^jE,DLtGblMWq46ducD1uhFp,0,0,0,40000,9,9,6,1,1428,5000,158,7227,1
2213,1,1964,4(*Kax8&YS,a25dNMsZKjRHnhp7WJkD,0,1,0,150000,1,11,2,1,1428,700,90,7227,1
2215,0,30,^+3(I8C%&b,vtFJx028ksA5j1r4Gevb,0,0,0,240000,1,13,5,1,1428,500,63,7229,1
2216,0,34,R6B&KN5OOi,C6o0rm2Kne9WJe6IrQhX,0,0,0,80000,3,14,4,1,1428,500,115,7122,1
2220,,23,K*)FJ)edcZ,nrQMSSqhv27ILkeKQI8X,1,0,0,360000,0,9,6,1,1428,545,64,7227,1
2222,1,23,N)Eb*EJXD4,DLtGblMWq46ducD1uhFp,0,0,1,70000,9,11,0,1,1428,736,45,7228,1
2224,0,34,4(*Kax8&YS,vtFJx028ksA5j1r4Gevb,0,0,0,380000,3,13,1,3,1428,300,63,7227,1
2226,1,31,@bM12Da%6&,jEt2cvpo9kv8BjV7S6ay,0,0,2,160000,4,15,6,2,1428,140,84,7227,1
2229,1,36,cN50%TMttL,duj1wNy6PQygCaQYt6ze,1,0,1,140000,3,18,15,1,1428,1000,335,7227,1
2238,0,26,4!5PbGR!VN,apqNDBwDXCytWs6F1c29,1,0,0,340000,6,18,6,1,1428,666,17,7229,1
2240,0,26,W@&0muZANj,Jsdxxb8QCqG5031DdLI5,1,0,1,10000,4,11,7,1,1428,2000,181,7227,1
2243,1,39,6J4&mF&#tl,ZRg0ZwLzu2FL5jted9eX,1,1,1,60000,8,14,3,1,1428,2000,279,7227,1
2247,0,30,UaSer)d$CZ,Jsdxxb8QCqG5031DdLI5,0,0,0,20000,1,18,15,1,1428,495,49,7227,1
2254,1,26,+d)U@Ozdq@,hpPCHpM0tO0AhtuGoypP,1,,0,40000,8,16,14,1,1428,5000,48,7227,1
2264,1,26,+d)U@Ozdq@,vtFJx028ksA5j1r4Gevb,1,0,1,12000000,2,17,3,1,1428,2000,22,7227,1
2269,0,26,^+3(I8C%&b,C55OgTGl37GGqJVFyeYQ,,0,0,140000,7,22,3,1,1428,1040,45,7227,1
2271,1,33,SSbZb5Hpun,NJRRltMExbMcFROsvdGD,0,0,1,270000,9,15,6,1,1428,2000,9,7227,1
2280,1,26,SSbZb5Hpun,Y7jY0XTUnViV2gtx79xG,0,1,0,220000,9,15,0,1,1428,1000,136,7122,1
2281,1,30,SSbZb5Hpun,bDs6Xe2iNTT7AkzC2PVT,0,0,0,170000,8,16,9,1,1428,400,27,7227,1
2286,0,26,tyOjI2@FcB,apqNDBwDXCytWs6F1c29,1,0,1,370000,6,21,18,3,1428,200,120,7227,1
2289,0,36,)!%OA9qpZP,U5K7lQEiD5wBoxQfY6Tz,0,0,0,240000,8,24,9,1,1428,400,70,7239,1
2292,0,21,W@&0muZANj,Y7jY0XTUnViV2gtx79xG,1,0,1,350000,9,18,6,1,1428,400,0,7227,1
2293,,26,m4Onx$jC_+,T9HRiTpDzJk0xkhhMyUc,0,0,0,13000000,0,19,13,1,1428,500,51,7227,1
2298,1,26,WUn^8@yRRZ,liZPCZF6tFgGEt1bTPHs,0,0,0,200000,0,24,18,2,1428,900,89,7227,1
2308,0,83,KnasAzg4Vf,rwanDIFAePDVZahjv9Cg,0,0,0,270000,1,16,4,1,1428,800,142,7122,1
2311,0,45,y3FVI6dzfi,oy7aZVGbnl73VxOs01nQ,0,0,0,320000,2,10,1,1,1428,1790,194,7227,1
2316,1,32,Nljw_d_PZV,"",1,0,0,500000,2,15,6,1,1428,500,72,7227,1
2319,0,27,rcJgTotoi8,0AjfBYGThrZ4OWmX9WCv,0,0,0,340000,7,18,15,1,1428,2000,154,7122,1
2320,,23,gTkSzDk+OA,"",0,1,0,180000,7,10,0,1,1428,900,143,7227,1
2330,1,29,Nljw_d_PZV,"",1,,0,360000,1,11,9,1,1428,200,69,7227,1
2333,1,33,yJrFzC0McE,JZxqPj2lkI5WfrXtLR8h,0,0,1,190000,8,14,9,1,1428,1100,24,7227,1
2339,0,23,$pffcP&pkj,SYy2B7hNPyV792L5eCqu,1,0,0,150000,4,20,19,1,1428,260,0,7227,1
2340,1,25,sO@*%lun08,Wlb9y8b5EujLakHZQZ0D,0,,0,16000000,7,12,0,1,1428,400,13,7227,1
2342,0,22,$pffcP&pkj,TM4ptl78Lwzhng7PAY4G,1,1,0,320000,8,14,4,1,1428,2000,249,7227,1
2344,0,24,nR4%tYIRXv,Wlb9y8b5EujLakHZQZ0D,0,0,1,210000,1,16,8,1,1428,2000,62,7227,1
2345,1,26,AWrJqks-tw,yhUtC1GSVpWWNPCI9EYo,1,0,0,390000,2,17,16,1,1428,100,0,7248,1
2354,0,23,+d)U@Ozdq@,yHrDLKQ3V9TnmM5OZdNu,1,0,0,0,2,17,8,1,1428,1600,279,7227,1
2357,1,44,UaSer)d$CZ,zY5grwt3TK2vXDNOXNtQ,0,0,0,230000,3,20,17,1,1428,1400,0,7228,1
2360,1,23,tZet+bbIC_,hpPCHpM0tO0AhtuGoypP,1,0,0,270000,3,14,8,3,1408,400,22,7227,1
2365,,25,!Zusbz4GJ@,liZPCZF6tFgGEt1bTPHs,1,1,0,340000,8,19,9,1,1428,3712,24,7227,1
2369,0,26,vJ#XVpcNy6,vtFJx028ksA5j1r4Gevb,0,0,1,240000,3,23,0,1,1428,320,28,7122,1
2374,1,23,@bM12Da%6&,4tn4ahgRkWMzsSCk5tnp,0,0,1,220000,0,19,18,1,1428,1000,141,7227,1
2375,1,27,Y1+5*e_(9D,NJRRltMExbMcFROsvdGD,0,0,0,260000,9,20,15,2,1428,1000,24,7227,1
2377,0,27,sUse$3S4Z%,zY5grwt3TK2vXDNOXNtQ,0,0,0,290000,8,22,1,1,1428,2030,367,7227,1
2389,1,22,nR4%tYIRXv,KO2noblmhQcxUA5YXty0,1,0,0,40000,4,25,14,2,1428,600,3,7122,1
2394,0,27,rcJgTotoi8,yHrDLKQ3V9TnmM5OZdNu,1,0,1,310000,7,21,0,2,1428,280,120,7227,1
2395,0,24,"",C6o0rm2Kne9WJe6IrQhX,1,0,0,390000,6,22,19,1,1428,1000,42,7228,1
2402,0,24,rreI!9jkPq,2gvyGkNTz6z7lM5GuVPN,0,,0,250000,7,11,4,1,1428,3000,404,7228,1
2406,1,25,N)Eb*EJXD4,AEvBGGIi1TYMZpsS5CoK,1,0,0,300000,5,15,6,2,1428,300,82,7227,1
2410,0,23,sUse$3S4Z%,qhf9RhOTHsX15m3UzA94,0,0,0,20000,4,10,0,1,1428,2600,242,7227,1
2415,1,25,rreI!9jkPq,nBFBZ7ZONkLc6OswKgos,1,0,2,0,2,15,0,1,1428,1600,188,7227,1
2420,0,24,4aQwCtPL4(,RD8BUJjq4e1qknku300N,1,0,1,10000,1,11,0,1,1428,257,0,7227,1
2424,,29,H#s_lw9F_R,apqNDBwDXCytWs6F1c29,0,0,0,110000,6,15,9,1,1428,800,2,7122,1
2425,0,31,+d)U@Ozdq@,nBFBZ7ZONkLc6OswKgos,0,0,0,290000,4,16,9,1,1428,1239,219,7227,1
2428,1,21,exk&etBeLF,YEKQrtjpUQRrhKaT6YRU,1,0,1,190000,4,19,15,1,1428,400,18,7232,1
2431,1,28,4(*Kax8&YS,DUPFnmZiv2kqwJJgYK0p,1,0,0,390000,5,13,0,1,1428,677,37,7227,1
2442,0,33,gTkSzDk+OA,noI8N7cvgfYPRswJVqSt,0,0,1,0,8,15,12,1,1428,330,61,7227,1
2445,1,23,Bg01S^%Jfy,pup1FL83CRpbaMg9C534,0,0,1,10000,3,18,15,1,1428,400,6,7227,1
2447,0,23,4!5PbGR!VN,i9jqpetwkZDeguJpCWVc,0,0,1,280000,8,20,7,1,1428,1000,96,7227,1
2452,0,40,+d)U@Ozdq@,i9jqpetwkZDeguJpCWVc,0,0,2,330000,0,16,4,1,1428,1000,19,7227,1
2455,0,29,+qOE#oK7Bu,YEKQrtjpUQRrhKaT6YRU,1,0,1,80000,2,19,4,1,1428,1300,83,7227,1
2463,0,32,jso!fQ*Q7x,4tn4ahgRkWMzsSCk5tnp,1,,0,20000,9,18,15,3,1428,200,167,7227,1
2468,1,25,tZet+bbIC_,YEKQrtjpUQRrhKaT6YRU,0,0,0,280000,9,23,7,2,1428,84,119,7227,1
2472,1,23,py_Z4O$Gg+,RKcjWOC0kWGyGsDi325Q,1,0,1,340000,8,18,6,1,1428,460,94,7228,1
2479,1,25,pi&NYvrpiu,JZ0KLFgkXP3A9WMANoni,1,0,0,130000,2,25,4,1,1428,800,45,7227,1
2480,0,23,H#s_lw9F_R,"",0,0,0,310000,0,17,15,1,1428,1060,32,7227,1
2485,1,34,m4Onx$jC_+,bDs6Xe2iNTT7AkzC2PVT,0,0,1,200000,8,22,21,1,1428,3000,34,7227,1
2487,0,24,y3FVI6dzfi,duj1wNy6PQygCaQYt6ze,0,1,1,300000,8,24,15,1,1428,1400,36,7227,1
2489,0,30,sO@*%lun08,Xlh4OkBJvFkCElKYmKNQ,1,0,0,10000,3,26,19,1,1428,600,172,7227,1
2490,1,24,jso!fQ*Q7x,yhUtC1GSVpWWNPCI9EYo,0,0,0,250000,0,18,6,1,1428,1500,83,7227,1
2497,1,22,^+3(I8C%&b,NW1ON108010azsYbnTXl,1,0,0,100000,0,25,22,1,1428,5400,43,7227,1
2502,0,23,Bg01S^%Jfy,zPz024CQIonY5H9jYIve,1,0,0,260000,3,12,6,1,1428,4000,2,7227,1
2508,0,23,NMZa(_ZevK,YEKQrtjpUQRrhKaT6YRU,1,0,1,100000,7,18,6,1,1428,500,185,7227,1
2509,1,36,m4Onx$jC_+,DUPFnmZiv2kqwJJgYK0p,0,0,0,120000,8,19,1,1,1428,1000,39,7227,1
2520,0,29,y3FVI6dzfi,NJRRltMExbMcFROsvdGD,0,0,2,260000,0,12,0,1,1428,1000,109,7227,1
2521,1,26,_cbxM0a-Yi,"",0,0,0,90000,5,13,12,2,1428,700,32,7227,1
2522,0,25,-(Tu#R_@lh,DUPFnmZiv2kqwJJgYK0p,0,0,0,280000,1,14,2,1,1428,500,37,7227,1
2526,1,26,zzhjn9-Ew-,4NcOXE1hJebOzWNFGD3a,1,1,0,10000,9,18,6,1,1428,5000,106,7227,1
2534,0,25,sO@*%lun08,RKcjWOC0kWGyGsDi325Q,0,0,1,80000,0,17,1,2,1428,1000,198,7227,1
2535,0,26,vJ#XVpcNy6,zPz024CQIonY5H9jYIve,1,0,1,290000,4,18,15,1,1428,2000,20,7227,1
2539,1,24,sUse$3S4Z%,TM4ptl78Lwzhng7PAY4G,0,0,0,100000,5,22,9,2,1428,2150,109,7227,1
2540,1,21,$pffcP&pkj,Jsdxxb8QCqG5031DdLI5,1,0,0,210000,0,14,6,1,1428,800,186,7227,1
2548,0,38,zzhjn9-Ew-,pup1FL83CRpbaMg9C534,1,0,0,70000,6,22,18,1,1428,1000,103,7228,1
2556,0,24,6J4&mF&#tl,nBFBZ7ZONkLc6OswKgos,0,0,1,80000,7,21,15,2,1428,400,84,7227,1
2558,0,29,UaSer)d$CZ,DLtGblMWq46ducD1uhFp,0,0,0,100000,2,23,5,2,1428,964,146,7227,1
2560,1,34,!Zusbz4GJ@,liZPCZF6tFgGEt1bTPHs,0,0,0,70000,8,16,0,1,1428,1200,8,7227,1
2565,0,32,sO@*%lun08,bDs6Xe2iNTT7AkzC2PVT,0,0,0,250000,0,21,3,1,1428,5000,87,7227,1
2567,1,27,xAZj4fx97F,4NcOXE1hJebOzWNFGD3a,0,0,0,250000,6,23,14,1,1428,1300,34,7228,1
2568,1,22,Bg01S^%Jfy,4NcOXE1hJebOzWNFGD3a,0,1,0,140000,5,24,0,1,1428,1800,33,7227,1
2570,0,26,tyOjI2@FcB,a25dNMsZKjRHnhp7WJkD,0,,0,60000,7,17,3,2,1428,800,154,7227,1
2579,1,28,vB5-)b$ZR+,xwVatkCS227il3xATBFE,1,0,1,350000,1,26,5,2,1428,640,33,7227,1
2584,0,25,"",xwVatkCS227il3xATBFE,,0,1,170000,2,22,10,1,1428,540,128,7227,1
2590,1,38,zzhjn9-Ew-,AACwntwTHc6JRW83FHAG,0,0,1,310000,1,19,6,1,1428,500,232,7227,1
2591,1,28,yJrFzC0McE,4NcOXE1hJebOzWNFGD3a,1,0,0,190000,9,20,11,2,1428,400,22,7122,1
2592,1,28,N)Eb*EJXD4,2gvyGkNTz6z7lM5GuVPN,0,0,1,170000,6,21,9,1,1428,240,43,7228,1
2600,1,20,ghOfqAzHdO,oy7aZVGbnl73VxOs01nQ,1,0,0,90000,8,11,4,1,1428,200,0,7227,1
2604,1,29,yJrFzC0McE,SYy2B7hNPyV792L5eCqu,1,0,0,70000,3,15,9,2,1428,405,162,7227,1
2606,1,29,R6B&KN5OOi,noI8N7cvgfYPRswJVqSt,1,0,0,170000,7,17,5,1,1428,390,192,7227,1
2608,0,25,vJ#XVpcNy6,xr1OdesOO44Ufzhxxw59,1,0,2,270000,1,19,5,1,1428,1050,0,7227,1
2617,1,35,py_Z4O$Gg+,AtzkQytHAijh7cklGMUl,0,0,1,200000,3,19,14,1,1428,4400,148,7227,1
2625,0,23,6J4&mF&#tl,NW1ON108010azsYbnTXl,1,1,1,30000,4,18,15,1,1428,4400,66,7228,1
2627,0,29,W@&0muZANj,0AjfBYGThrZ4OWmX9WCv,1,0,0,220000,9,20,7,2,1428,200,36,7228,1
2628,1,24,T+BA%psI8c,T9HRiTpDzJk0xkhhMyUc,0,0,0,290000,3,21,3,1,1428,410,18,7227,1
2629,1,20,_)nAgN9)Gz,noI8N7cvgfYPRswJVqSt,1,1,0,180000,8,22,11,1,1428,450,41,7122,1
2632,0,28,Nljw_d_PZV,nrQMSSqhv27ILkeKQI8X,0,0,2,370000,4,16,8,2,1428,200,54,7227,1
2635,1,29,fXm+BayjVA,ZRg0ZwLzu2FL5jted9eX,0,0,1,60000,8,19,13,1,1428,800,0,7228,1
2639,1,1966,UaSer)d$CZ,pup1FL83CRpbaMg9C534,0,0,0,260000,4,23,17,1,1428,1860,11,7227,1
2653,1,32,m1o4W&JCvy,hpPCHpM0tO0AhtuGoypP,0,1,0,220000,4,19,12,1,1428,550,429,7227,1
2660,0,24,4!5PbGR!VN,Jsdxxb8QCqG5031DdLI5,0,,0,500000,3,17,8,2,1428,1100,163,7227,1
2661,0,46,py_Z4O$Gg+,4CdUr2g9UqwFuqdVaWdO,0,0,0,330000,3,18,15,1,1428,600,114,7227,1
2662,1,30,H#s_lw9F_R,noI8N7cvgfYPRswJVqSt,0,0,0,330000,5,19,2,1,1428,320,158,7227,1
2663,0,27,zzhjn9-Ew-,vtFJx028ksA5j1r4Gevb,1,0,0,230000,1,20,3,1,1428,333,96,7227,1
2667,1,23,UaSer)d$CZ,Wlb9y8b5EujLakHZQZ0D,1,0,1,300000,9,24,3,1,1428,3000,97,7228,1
2668,0,29,A&D5V21q5$,AACwntwTHc6JRW83FHAG,1,1,0,330000,9,25,18,1,1428,750,263,7229,1
2670,1,29,UaSer)d$CZ,b2ZbgyfuDZYdwsGZq0N9,0,0,1,0,6,18,6,1,1428,1100,227,7229,1
2672,0,26,4!5PbGR!VN,4tn4ahgRkWMzsSCk5tnp,1,0,0,170000,2,20,12,1,1428,700,45,7227,1
2681,0,22,YBjx-RAB9!,U5K7lQEiD5wBoxQfY6Tz,1,0,0,230000,8,20,1,1,1428,1980,117,7228,1
2682,1,20,tZet+bbIC_,Wlb9y8b5EujLakHZQZ0D,1,1,0,0,0,21,15,2,1428,400,45,7228,1
2687,0,29,py_Z4O$Gg+,NJRRltMExbMcFROsvdGD,1,0,0,160000,8,26,9,1,1428,2000,299,7227,1
2688,0,65,4aQwCtPL4(,TM4ptl78Lwzhng7PAY4G,0,0,0,20000,6,27,15,1,1428,327,195,7228,1
2689,0,24,&UiIgr6b05,JZ0KLFgkXP3A9WMANoni,0,0,0,340000,2,28,1,1,1428,2000,434,7227,1
2691,0,21,nR4%tYIRXv,bDs6Xe2iNTT7AkzC2PVT,0,0,1,140000,9,21,3,1,1428,400,33,7227,1
2694,0,24,pi&NYvrpiu,6153L0t8XPPwrqlaHrPc,1,0,0,60000,5,24,6,3,1428,980,8,7227,1
2701,1,25,_)nAgN9)Gz,RD8BUJjq4e1qknku300N,0,0,1,250000,4,13,10,1,1428,800,38,7227,1
2704,1,25,_)nAgN9)Gz,hpPCHpM0tO0AhtuGoypP,0,0,0,130000,9,16,0,1,1428,2102,149,7227,1
2709,1,35,gTkSzDk+OA,DAHGwLtn4JPcATVSWFHk,0,,1,270000,9,21,0,1,1428,500,19,7227,1
2710,1,29,_)nAgN9)Gz,C6o0rm2Kne9WJe6IrQhX,0,0,0,280000,5,13,6,1,1428,930,166,7227,1
2711,0,22,@bM12Da%6&,AEvBGGIi1TYMZpsS5CoK,0,0,0,330000,4,14,9,1,1428,2000,81,7227,1
2715,1,25,SSbZb5Hpun,RKcjWOC0kWGyGsDi325Q,0,0,0,30000,1,18,15,1,1428,800,0,7227,1
2719,0,26,tyOjI2@FcB,4CdUr2g9UqwFuqdVaWdO,0,0,0,60000,6,22,13,2,1428,142,148,7227,1
2729,1,35,C_QpEX%9CB,hpPCHpM0tO0AhtuGoypP,1,0,0,30000,1,23,15,3,1428,1000,344,7227,1
2730,0,30,(O@$+)2-Iq,AACwntwTHc6JRW83FHAG,0,0,0,12000000,9,15,0,2,1428,100,11,7228,1
2744,0,36,py_Z4O$Gg+,JZxqPj2lkI5WfrXtLR8h,1,0,0,230000,0,20,4,2,1428,800,75,7227,1
2745,0,23,xAZj4fx97F,hpPCHpM0tO0AhtuGoypP,0,0,0,250000,3,21,15,2,1428,800,43,7227,1
2746,1,30,AWrJqks-tw,RD8BUJjq4e1qknku300N,0,0,0,330000,5,22,18,1,1428,2000,0,7227,1
2750,0,29,IgSHlRCsd#,duj1wNy6PQygCaQYt6ze,1,0,0,200000,5,17,13,1,1428,1600,186,7227,1
2752,1,21,&qrVc7H^jE,rwanDIFAePDVZahjv9Cg,0,0,0,150000,8,19,16,1,1428,1500,5,7227,1
2754,1,34,rcJgTotoi8,RD8BUJjq4e1qknku300N,1,0,1,80000,0,21,3,1,1428,100,147,7227,1
2757,1,21,-(Tu#R_@lh,EAE3RcxIwQfn3oIbcXZN,0,0,1,40000,9,24,21,1,1428,1309,149,7227,1
2767,1,28,&qrVc7H^jE,AACwntwTHc6JRW83FHAG,1,1,0,350000,7,25,17,1,1428,750,68,7227,1
2768,0,33,rreI!9jkPq,"",1,1,0,260000,4,26,12,1,1428,550,23,7227,1
2771,1,28,_cbxM0a-Yi,EAE3RcxIwQfn3oIbcXZN,0,,0,300000,0,20,11,1,1428,1050,334,7227,1
2774,0,20,-(Tu#R_@lh,qhf9RhOTHsX15m3UzA94,0,0,0,260000,0,23,14,1,1428,800,91,7227,1
2776,1,27,+qOE#oK7Bu,6153L0t8XPPwrqlaHrPc,1,1,1,280000,3,25,1,1,1428,1300,155,7228,1
2778,1,29,T+BA%psI8c,0AjfBYGThrZ4OWmX9WCv,0,0,0,30000,4,27,24,2,1428,500,0,7227,1
2781,0,45,UaSer)d$CZ,qhf9RhOTHsX15m3UzA94,0,,0,310000,2,21,9,1,1428,3700,0,7227,1
2787,0,24,py_Z4O$Gg+,zY5grwt3TK2vXDNOXNtQ,0,0,0,190000,1,27,6,1,1428,510,81,7228,1
2792,1,36,nR4%tYIRXv,zPz024CQIonY5H9jYIve,1,0,1,70000,2,23,9,1,1428,800,0,7227,1
2810,0,37,R6B&KN5OOi,"",1,0,0,110000,6,14,10,1,1428,410,235,7227,1
2813,1,29,KnasAzg4Vf,Jw5OmlNzw1TWSySS8Kz6,1,0,0,270000,6,17,8,1,1428,86,2,7227,1
2814,1,21,W@&0muZANj,b2ZbgyfuDZYdwsGZq0N9,1,1,0,390000,8,18,6,1,1428,1000,57,7227,1
2821,1,24,T+BA%psI8c,vtFJx028ksA5j1r4Gevb,1,0,0,190000,7,16,5,1,1332,70,161,7230,1
2822,0,40,Nljw_d_PZV,TM4ptl78Lwzhng7PAY4G,1,0,0,280000,4,17,0,2,1428,3400,47,7227,1
2827,0,23,ghOfqAzHdO,b2ZbgyfuDZYdwsGZq0N9,1,0,0,50000,8,22,11,1,1428,2400,0,7235,1
2828,1,27,Bg01S^%Jfy,a25dNMsZKjRHnhp7WJkD,0,0,0,240000,9,23,22,2,1428,1000,46,7228,1
2840,0,28,&qrVc7H^jE,qhf9RhOTHsX15m3UzA94,1,0,1,360000,1,17,1,1,1428,400,76,7227,1
2842,0,33,nR4%tYIRXv,bDs6Xe2iNTT7AkzC2PVT,0,0,0,0,9,19,11,1,1428,800,158,7227,1
2848,,21,6J4&mF&#tl,apqNDBwDXCytWs6F1c29,0,0,0,0,6,25,23,1,1428,600,280,7228,1
2849,0,22,zzhjn9-Ew-,jEt2cvpo9kv8BjV7S6ay,0,0,2,260000,8,26,15,2,1428,800,179,7227,1
