clnt_id,grey_goose_F0,grey_goose_F1,grey_goose_F2,grey_goose_F3,grey_goose_F4,goose_agg_0,goose_agg_1,goose_agg_2,goose_agg_3,goose_agg_4,goose_agg_5,goose_agg_6,goose_agg_7,goose_agg_8,goose_agg_9,goose_agg_10,goose_agg_11,goose_agg_12,goose_agg_13,goose_agg_14,goose_agg_15,goose_agg_16,goose_agg_17,goose_agg_18,goose_agg_19,goose_agg_20,goose_agg_21,goose_agg_22,goose_agg_23,goose_agg_24,goose_agg_25,goose_agg_26,goose_agg_27,goose_agg_28,goose_agg_29,wild_goose_A_0,wild_goose_A_1,wild_goose_A_2,wild_goose_A_3,wild_goose_A_4,wild_goose_A_5,wild_goose_A_6,wild_goose_A_7,wild_goose_A_8,wild_goose_A_9
2084,1,1,0,1,1,404,-824252,9107.99684916313,457,8971.82833015866,-366376,-40000,-909743,-3554.71794871795,7134.79077607421,39,-902.215346534654,-870.251781472684,445,22,-2355.00571428571,148,445,457,136,-138634,39,22,-150000,-3554.71794871795,-150000,421,20,155,404,,866.544093896362,-1950,-4616,113210,2,-507,,19846.2628483488,18
3711,1,0,0,0,1,162,-155436,2855.26533019384,200,2766.22917164838,165668,-20000,-170925,-1988.27586206897,3538.89938698632,33,1032.45679012346,900.369565217391,196,18,-1009.32467532468,107,196,200,97,-59460,32,18,-30000,-1809.39393939394,-30000,184,18,115,162,,699.457698098013,-2000,,,,,,4234.02144341917,8
4713,1,0,0,1,1,172,-229415,5262.75042272248,211,5161.95279017659,-223885,-2000,-302642,-725.2,11799.833501907,11,-1022.31976744186,-1142.27040816327,203,26,-1550.10135135135,108,203,211,96,-56933,10,27,-40000,-5448.45454545455,-40000,196,23,113,172,1767.76695296637,14048.9095906698,-40000,-1337.78947368421,10295,,,,3079.74377019558,21
4334,0,1,0,0,0,271,-599621,5512.61008515759,320,5384.2266544578,-420816,-40000,-629670,-6584.58064516129,10349.6253293123,35,-1477.15867158672,-1421.67567567568,312,33,-2351.45490196078,142,312,320,130,-204821,33,33,-40000,-5878.88571428571,-40000,296,32,149,271,,13292.8481818501,-38000,-1416.66666666667,,1,-24,,3620.58910952348,22
4076,0,0,0,1,0,114,-315060,12160.4116928798,151,11645.5165188114,-157898,-23500,-463072,-6545.25,7711.38803682874,11,-485.368421052632,-1224.01550387597,141,15,-3424.5652173913,84,141,151,75,-67558,11,15,-1e+05,-6141.63636363636,-1e+05,129,13,90,114,,6000,-15000,-3354.66666666667,9700,,,,15240.789568348,9
4787,0,0,0,0,0,65,-426885,24427.2330165478,78,24262.0687268068,-607100,-70000,-707841,-19356.2105263158,38889.3471342492,22,-6079.76923076923,-8431.94444444445,76,13,-6775.95238095238,56,76,78,50,-567768,21,13,-180000,-28080.3636363636,-180000,72,11,60,65,17677.6695296637,45682.2953188195,-180000,-5000,208000,,,,110693.269894786,9
4312,0,0,1,1,1,91,-268019,8643.44638505728,106,8374.98598108652,-38373,-45000,-300721,-9403.57142857143,13266.9007640199,17,-126.681318681319,-391.561224489796,104,13,-3480.76623376623,73,104,106,67,-149650,16,13,-50000,-8979.41176470588,-50000,98,13,78,91,,5653.35652510966,-15000,-15350,104500,,,,22585.2044910991,10
2887,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8461.87528467144,-15000,-7644.42857142857,79500,,,,22406.7512147567,7
4456,1,0,1,0,0,21,-34433,3972.24222773354,21,3972.24222773354,-22433,-17566,-34433,-5891.5,7910.44177021739,4,-1068.2380952381,-1068.2380952381,21,8,-1812.26315789474,19,21,21,19,-23566,4,8,-17566,-5891.5,-17566,21,8,19,21,,,,,,,,,,3
4294,0,0,1,0,0,222,-426557,5524.80691877001,270,5487.35368750502,-98485,-16000,-486274,-1792.24137931035,2852.53248180349,35,-660.202702702703,-381.72480620155,267,16,-2409.92655367232,118,267,270,108,-61974,33,16,-60000,-1774.14285714286,-60000,258,14,123,222,11902.8195189207,2076.59445129556,-6084,-5420.42857142857,22488,,,,10775.9859767332,10
4127,0,1,1,0,1,166,-223523,6605.93137381995,196,12056.7589727626,-217235,-9900,-468933,-1908.07692307692,2782.31140075464,14,-1209.93373493976,-1180.625,192,17,-1480.28476821192,107,192,196,97,-24955,14,17,-96000,-1782.5,-96000,184,17,111,166,,,-150,-300,,1,-386,,442.269525666571,9
3664,0,1,0,1,1,196,-819154,17337.688392851,251,16799.003370387,-564283,-99000,-852740,-9222.23076923077,19261.6929044733,30,-2994.54591836735,-2496.82743362832,243,17,-4601.98876404494,111,243,251,98,-248479,30,18,-2e+05,-8282.63333333333,-2e+05,226,17,118,196,5773.50269189626,2171.11216158489,-6000,-5333.6,7000,2,-2808,,24670.9366892504,14
4442,0,1,0,1,0,663,-435677,2595.58588498344,701,2572.94997621865,17800,-6200,-449225,-802.739130434783,1134.96465507294,71,26.8476621417798,26.8476621417798,677,19,-873.100200400802,143,677,701,143,-55389,69,19,-40000,-830.450704225352,-40000,663,19,150,663,,818.946223305698,-2000,-416.416666666667,9726,,,,8682.69854530096,13
3189,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4906.74978303697,-16000,-1576,,,,,2613.46666326548,6
2927,1,1,1,0,1,417,-932309,8318.34049480147,444,8228.66599633809,-710787,-135000,-985674,-7333.44186046512,20480.4332194343,44,-1617.17026378897,-1660.71728971963,438,27,-2596.96100278552,146,438,444,140,-315338,43,27,-135000,-7171.06818181818,-135000,428,27,151,417,,5834.8394763083,-16000,-4089,58300,,,,12695.6374265598,14
3069,0,1,0,1,1,49,-89265,8411.04849477832,56,11984.015654961,44435,-300,-146475,-200,141.42135623731,2,906.836734693878,906.836734693878,54,15,-2550.42857142857,37,54,56,37,-400,2,15,-56968,-200,-56968,49,13,41,49,,,,-17066.6666666667,73200,,,,19928.5724526369,7
2993,1,1,0,1,1,94,-246888,11398.0464663994,103,11152.1193775001,-195428,-19500,-251989,-1975.68,3824.82642140087,26,-2051.57446808511,-2035.70833333333,100,14,-2904.56470588235,70,100,103,68,-49472,26,14,-75800,-1902.76923076923,-75800,96,14,73,94,,1434.98976269785,-4000,,28500,,,,13567.7313259562,6
2834,0,1,0,0,0,221,-864793,18463.1579746757,242,18248.8115731593,-690020,-20000,-912984,-3474.95652173913,4413.1887449396,26,-3108.54751131222,-2961.45922746781,240,23,-4412.20918367347,120,240,242,111,-83024,25,23,-242000,-3385.53846153846,-242000,233,23,125,221,1264.33118024248,4076.64418091373,-12400,-7894.1875,50730,,,,7097.71622503402,12
2558,1,1,1,0,0,161,-330964,6684.82630358971,186,6574.14256664317,-205153,-16000,-349175,-3039.6875,3951.23714240411,55,-1200.22360248447,-1165.64204545455,182,15,-2191.81456953642,106,182,186,99,-149455,52,15,-80000,-2815.54545454545,-80000,176,14,111,161,32672.5759315056,3340.41034276697,-16000,,8000,,,,31360.1293734931,12
3721,0,1,1,0,1,129,-143475,3819.5440663962,162,3740.57027145429,-32280,-10000,-159151,-3721.66666666667,4165.34283731615,7,-264.84496124031,-216.644295302013,157,12,-1236.85344827586,90,157,162,79,-22330,6,12,-40000,-3461.42857142857,-40000,149,10,95,129,,3584.57342882897,-9000,-436.5,84778,1,-2372,,14159.9746201194,12
3822,1,1,1,0,0,167,-333092,4403.6542115028,185,4333.87869287166,-322070,-20000,-350762,-2983.34615384615,4876.79078551651,58,-1869.60479041916,-1840.4,181,15,-2121.6050955414,102,181,185,95,-158767,55,15,-32021,-2858.05172413793,-40000,175,14,107,167,,2618.88937616987,-10000,-5000,3000,,,,2234.27590059957,13
2150,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587.64907114744,-13000,,314100,,,,170970.3775512,2
4792,0,0,0,1,1,83,-138282,6781.56505746066,103,6521.76864273015,-41552,-9000,-143087,-1598.18181818182,2428.6407562826,13,-466.048192771084,-451.652173913044,98,13,-2266.91803278689,70,98,103,63,-18205,13,13,-40000,-1400.38461538462,-40000,92,11,75,83,1923.53840616713,831.50841847813,-2000,-1675.16666666667,5000,,,,5847.77124821317,11
4145,1,0,1,0,1,71,-302825,24727.8978257052,84,24212.3730649199,-223436,-10000,-313167,-3945.29411764706,5026.12803154413,19,-3057.54929577465,-2901.76623376623,81,11,-4731.640625,59,81,84,53,-75070,19,11,-206000,-3951.05263157895,-206000,77,10,63,71,,8602.50534041497,-30000,-1000,3000,,,,3636.24430134275,12
3528,0,0,1,1,1,200,-386813,7283.69804885878,249,7013.47181554152,-14701,-45000,-499134,-4875.91666666667,10108.7271469351,31,138.31,-66.2207207207207,243,12,-2432.78616352201,123,243,249,112,-154822,27,13,-64600,-5096.74193548387,-64600,222,11,130,200,18338.6710844286,14021.3000541863,-50000,-3839.95454545455,260740,,,,22464.3243385873,16
2389,0,0,1,0,0,127,-196545,3110.69156312089,167,3028.44040625747,-101829,-19000,-241514,-2852.50847457627,3988.37774159061,65,-542.188976377953,-665.549019607843,162,16,-1770.67567567568,95,162,167,82,-185830,64,16,-19000,-2905.07692307692,-19000,153,15,102,127,2779.96330911039,3343.31551743517,-14000,,,,,,2272.74188298334,12
2768,1,1,1,1,1,242,-379130,4819.59348395731,279,4712.98174270732,-343585,-12000,-400569,-1942.5652173913,2524.49784080623,50,-1367.59917355372,-1316.41762452107,273,16,-1685.02222222222,130,273,279,120,-94858,50,16,-55000,-1897.16,-55000,261,15,136,242,,994.58679917788,-3500,-550,8900,3,-453.333333333333,,1244.81423360696,11
2845,0,0,0,0,1,53,-75629,1970.30250393272,60,2138.90093663421,174857,-5000,-84813,-2562.5,2670.85664160396,5,3312.09433962264,3179.21818181818,59,10,-1644.10869565217,38,59,60,37,-10374,5,10,-10000,-2074.8,-10000,55,10,42,53,,3447.85266506561,-5000,-1714,,1,-4038,,,8
4857,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62533.140892688,-180000,-8481.68421052632,1324395,1,-1135,1,34121.6622974266,26
3782,1,0,0,0,0,123,-248320,5225.97478641781,131,5186.01764037846,-227883,-16000,-252359,-1940.52941176471,3596.48093190653,19,-1881.08943089431,-1794.35433070866,129,18,-2159.30434782609,74,129,131,70,-32989,17,18,-46800,-1895.73684210526,-46800,127,16,75,123,,5669.99904257991,-16000,-1080.8,1000,2,-539,,2474.87373415292,11
2525,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2234.76980917499,-5720,-4277.57142857143,62284,,,,11114.0107508359,16
3549,0,1,1,1,0,144,-203376,3755.10370676984,172,3722.43749629341,-13143,-20000,-261984,-2301.95555555556,5771.42409579424,51,295.895833333333,-79.1746987951807,170,24,-1517.73134328358,94,170,172,85,-151223,50,24,-33800,-2968.96078431373,-33800,166,22,98,144,5313.31572560863,6191.17224928283,-33800,-1196,,,,1,29239.3345615115,23
3162,0,1,1,1,1,111,-504083,12716.6575117168,137,12366.5661360228,-376115,-60000,-515297,-9531.11111111111,12600.20719909,25,-3538.17117117117,-3134.29166666667,129,23,-4990.92079207921,80,129,137,76,-179763,25,23,-1e+05,-7190.52,-1e+05,120,21,87,111,388.908729652601,7253.25386751813,-15000,-79,,,,,,7
3303,1,1,1,0,0,130,-143223,2523.48935006052,142,2483.30407640731,-95887,-21000,-151650,-1841.26086956522,4199.54832953515,24,-728.138461538462,-710.274074074074,141,16,-1203.55462184874,92,141,142,88,-42349,23,16,-21000,-1806.20833333333,-21000,135,16,96,130,,723.049790816649,-2500,-8487.5,10000,,,,4685.60969885457,12
3773,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14192.3762616547,-40000,-2635,5881,2,-1709,,4286.5502743518,17
2319,1,0,1,1,0,263,-378728,7134.53574493466,301,7051.60522896206,-145444,-10000,-552760,-1400.7037037037,2493.8331831164,63,-23.0038022813688,-501.531034482759,301,24,-1598.00843881857,126,301,301,116,-81945,61,24,-1e+05,-1459.92063492064,-1e+05,290,24,133,263,,3868.26403786849,-10000,-5070,,1,-69,,,8
2539,1,1,0,1,0,102,-268483,13059.5541134739,114,12935.4785873128,24743,-50000,-335840,-14180,20999.6904739094,5,-79.2352941176471,222.90990990991,113,20,-2983.14444444445,78,113,114,70,-70900,5,20,-1e+05,-14180,-1e+05,111,20,80,102,,2757.71644662754,-4000,-21714.6666666667,103537,4,-104.25,,34816.2666949147,10
2172,0,0,1,0,1,66,-77754,2060.40080763465,70,2060.40080763465,-68181,-8400,-79254,-2635.76923076923,2776.18443653174,13,-1010.31818181818,-1017.62686567164,68,9,-1274.65573770492,52,68,70,51,-34265,13,9,-10000,-2635.76923076923,-10000,67,9,53,66,,,,,,,,,,2
2286,0,0,1,0,1,87,-131660,2797.0090696371,107,2681.18736852789,-98969,-15500,-142225,-3115.125,3888.5900211955,17,-1085.48275862069,-1052.86170212766,103,13,-1645.75,75,103,107,69,-49842,16,13,-17000,-3037.76470588235,-17000,94,13,80,87,,1242.37714349012,-3400,,20020,,,,6619.65913019696,9
3999,1,1,1,1,1,386,-452435,4676.5408166525,408,5105.11309184381,-237224,-20000,-496855,-2424.38888888889,4774.71587838462,19,-640.049222797927,-591.581047381546,404,19,-1342.53709198813,134,404,408,126,-44079,19,19,-44440,-2319.94736842105,-44440,401,18,137,386,,,-481,-140.6,,,,,,7
4419,0,1,1,0,0,43,-94340,3820.57626102637,49,4366.38600735407,-33290,-20000,-113190,-3730,6086.1712102109,19,-763.720930232558,-739.777777777778,49,6,-2358.5,43,49,49,41,-63410,17,6,-20000,-4290,-20000,45,6,47,43,3181.98051533946,11691.3325616316,-35048,-50,,,,,4556.6167639306,5
4245,1,0,0,1,0,115,-363669,14356.6880734128,135,14039.4267870707,-276033,-54000,-450652,-7362.45454545455,13601.033271703,24,-1709.86956521739,-2173.48818897638,133,24,-3910.41935483871,90,133,135,81,-162124,24,24,-1e+05,-6755.16666666667,-1e+05,127,22,94,115,,,,-27,3490,,,,1344.07291468878,9
4388,0,0,0,0,0,104,-170479,4339.01681678121,142,4224.8704385092,-124236,-40000,-197354,-3702.88,7111.18615773012,30,-1077.41346153846,-978.236220472441,138,12,-1959.52873563218,79,138,142,67,-94572,26,13,-40000,-3294.13333333333,-40000,127,10,85,104,,2491.66467590301,-8000,-10200,4000,,,,2448.00367646783,7
4721,0,0,0,0,0,86,-598796,15490.0420435267,93,15417.3212104545,34357,-80000,-633888,-6759.73333333333,20363.708357435,15,-2681.6976744186,381.744444444445,91,17,-7878.89473684211,59,91,93,55,-101396,15,17,-80000,-6759.73333333333,-80000,90,17,60,86,,29922.1597872435,-91704,-13505,347250,1,-22482,,104011.112942577,20
3243,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.587743560301,-200,,7000,,,,2179.44947177034,4
2508,0,0,1,0,0,179,-412845,7476.98404000157,189,7456.6316912527,-374954,-50000,-421565,-3128.0701754386,7774.80575450385,58,-2081.19553072626,-2005.10160427807,188,12,-2548.42592592593,108,188,189,102,-179300,58,12,-50000,-3091.37931034483,-50000,187,12,109,179,1913.80316821419,6886.54755182419,-40000,-1440,50600,,,,14540.6167838419,8
3278,0,0,0,1,0,201,-414049,4610.87191058858,232,4588.21340568361,-340526,-20000,-446120,-2888.81818181818,4626.71451397708,25,-1701.35323383085,-1533.9009009009,225,20,-2190.73544973545,129,225,232,116,-68918,25,20,-40000,-2756.72,-40000,222,20,132,201,,4019.32764899803,-15000,-3568,47000,1,-50,,10453.6864721084,13
2313,0,1,1,0,1,195,-588908,9039.48309481773,220,8840.42390222603,-504897,-70000,-619791,-9586.06666666667,16795.0348028287,32,-2495.25128205128,-2487.17733990148,212,26,-3327.16384180791,112,212,220,107,-288582,32,26,-70000,-9018.1875,-70000,203,25,118,195,,8133.34099921575,-23000,,,,,,835.997408289444,13
4135,1,1,1,0,0,131,-218296,3017.36566569966,166,2908.76342072402,-177430,-19500,-243015,-2749.07894736842,4005.49569570268,42,-1250.50381679389,-1207.00680272109,161,17,-1849.96610169492,89,161,166,77,-105681,40,18,-19500,-2580.5,-19500,147,15,95,131,6363.96103067893,1025.59884945333,-2900,-3280,5700,,,,3817.91594983441,8
2526,0,0,1,1,0,173,-1134565,32162.7471285763,203,31095.7491867635,-398883,-5796,-1157381,-1307.48,1364.47539125238,25,-2291.8612716763,-2144.53225806452,199,18,-7878.92361111111,118,199,203,108,-32687,25,18,-332000,-1307.48,-332000,186,18,126,173,244156.200003195,2160.13199828159,-4900,-23561.4285714286,25700,,,,127863.480317802,13
2051,0,1,1,0,0,126,-154973,3307.5036729574,136,3267.93454140804,-67061,-2000,-157074,-591.2,636.043803284781,11,-528.095238095238,-519.852713178295,133,15,-1371.44247787611,69,133,136,66,-6343,11,15,-22094,-576.636363636364,-22094,129,15,72,126,4485.27498227998,353.532601042676,-900,-6010.57142857143,,,,,4088.47404296518,9
4446,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.25162159597,1629.33594021018,-6000,-2493.4,,,,,1368.25162159597,12
4841,0,1,0,0,1,522,-562479,4055.66030833091,586,3999.19832859455,-169154,-46150,-592795,-3374.25925925926,8905.6962986641,29,-310.448275862069,-304.781981981982,574,21,-1365.24029126214,154,574,586,143,-91445,29,21,-46150,-3153.27586206897,-46150,555,21,160,522,5329.24947811603,6582.96839705817,-13000,-1498.81818181818,36790,,,,3283.27755715474,14
4063,0,0,0,1,1,276,-2751181,50816.6042298272,324,50160.1384815926,-898516,-3e+05,-3251063,-50246.2,107885.884004865,10,-3139.50362318841,-2945.95409836066,316,27,-11707.1531914894,133,316,324,121,-502462,10,27,-4e+05,-50246.2,-4e+05,305,27,139,276,,,,,,,,,,5
4226,1,0,0,0,0,216,-166940,3265.34230449487,240,3410.67321616271,-13250,-9000,-219614,-1283.46153846154,3882.66747170464,16,76.1712962962963,-56.8669527896996,238,13,-892.727272727273,122,238,240,114,-31837,16,13,-35000,-1989.8125,-35000,233,13,127,216,,3244.65650100651,-9000,-2297,547,,,,1855.95560291727,9
3800,1,1,0,1,0,21,-21304,5061.31925128279,35,4645.82348165103,-43871,-200,-65088,-200,,1,-319.238095238095,-1566.82142857143,33,15,-1253.17647058824,25,33,35,19,-200,1,16,-23200,-200,-23200,28,10,28,21,13364.3181644257,,-5000,-4340,5000,,,,9098.48888552379,15
4860,0,1,1,1,1,109,-274324,9625.33885802823,121,9496.21577769201,-208121,-30000,-282545,-4164.25,7974.80046729092,30,-1849.81651376147,-1809.74782608696,118,13,-2770.9494949495,76,118,121,71,-118149,30,13,-80000,-3938.3,-80000,115,12,79,109,,18988.0357106837,-60000,-758.571428571429,8000,,,,3381.41410261052,9
2976,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49755.5,2212.74417064104,-8000,-10030,20000,,,,35886.7218480596,10
4267,1,1,0,0,0,154,-305597,12673.4779143265,174,12549.9792507644,-209255,-10000,-309986,-2182.47058823529,3062.80633842015,19,-1403.48051948052,-1253.02395209581,170,8,-2214.47101449275,101,170,174,90,-38102,18,8,-150000,-2058,-150000,167,8,103,154,,1613.98434148088,-5000,-5731,,,,,1124.54479679557,7
3675,0,1,1,0,0,27,-61646,6309.65327179366,32,6204.52139412531,-43252,-30000,-62546,-8591,11902.4033707483,6,-1576,-1395.22580645161,32,6,-2680.26086956522,29,32,32,25,-51546,6,6,-30000,-8591,-30000,31,6,30,27,,22398.8440390506,-50000,-52.5,10634,,,,4607.38418194099,6
3180,1,0,0,0,1,207,-403457,6652.53231662813,230,6636.7219422646,-120840,-80000,-434862,-4333.10416666667,11479.3185065235,54,-490.154589371981,-530,230,14,-2318.7183908046,117,230,230,106,-230473,53,14,-80000,-4271.72222222222,-80000,228,12,118,207,565.685424949238,1210.01515142029,-3000,-1142.5,16950,,,,5390.94534072334,5
4416,0,1,0,0,1,109,-604443,15390.7519535068,130,15330.3956101736,-637375,-120000,-679055,-20291.5625,31585.0824476084,19,-5217.5504587156,-5140.12096774194,125,18,-6044.43,89,125,130,81,-376115,18,18,-120000,-19835,-120000,124,16,90,109,,20020.3989545663,-50000,-3301.5,,1,-2381,,3267.98347609042,16
2876,1,0,1,0,1,135,-175034,3361.90833058269,157,3633.4398354105,-160401,-26800,-225864,-5692.22222222222,8067.64914762849,13,-976.385185185185,-1091.16326530612,154,17,-1389.15873015873,91,154,157,85,-59230,11,17,-26800,-6248.46153846154,-26800,147,16,95,135,,8497.15721874087,-20000,,,1,-393,,19605.9509588288,9
2960,1,1,0,1,0,411,-5914710,59550.7187046016,483,60819.3477223993,-5012994,-30000,-6656819,-5726.68181818182,9184.49705384212,22,-11883.0900243309,-11524.124137931,466,26,-15814.7326203209,151,466,483,139,-125987,22,26,-9e+05,-5726.68181818182,-9e+05,435,24,159,411,,15778.3807153966,-23456,-43838.7647058824,270000,2,-1485,,62981.6622821959,19
4862,0,0,1,1,0,252,-268820,3435.49748273879,290,3392.66434962657,-166362,-16000,-297461,-2426.16,3845.24147726271,26,-634.936507936508,-609.384615384615,286,24,-1216.38009049774,134,286,290,123,-60654,25,24,-45000,-2390.53846153846,-45000,273,24,140,252,,7973.91580927046,-16000,-2844.4,19159,2,-208.5,2,9820.92042622186,16
4774,1,1,1,1,0,357,-354209,3939.66588553966,436,3832.43880893409,-164329,-10000,-420163,-1081.03571428571,2565.65170317395,80,-427.397759103642,-407.764267990074,427,16,-1073.36060606061,144,427,436,131,-92510,68,16,-54000,-1304.6375,-54000,403,16,152,357,12020.8152801713,2843.58968079561,-10000,-2600,,,,,12350.2938310911,10
3250,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291.28784747792,-5000,-9301.45454545455,38000,,,,12396.5306667401,11
3064,1,1,0,0,0,115,-261623,6793.56233049343,154,6539.61353927797,-206365,-65000,-298463,-6855.5625,15569.2335916818,17,-1777.99130434783,-1540.03731343284,151,20,-2564.93137254902,80,151,154,71,-110221,17,20,-65000,-6483.58823529412,-65000,134,17,86,115,,,,,,,,,,2
3099,0,0,1,0,0,387,-627308,6786.85100563199,473,6740.79952255365,-709887,-19000,-913823,-3853.34615384615,6005.19221521399,33,-1279.98708010336,-1613.37954545455,466,22,-1777.07648725212,144,466,473,132,-103939,29,23,-80000,-4273.33333333333,-80000,440,20,152,387,,3173.94439144734,-6000,-6605.2,500,,,,15202.7957955108,8
2348,0,1,0,1,1,135,-360014,14231.8615623444,192,14608.8162873329,-290840,-40000,-651711,-5913.5,8259.47290257114,27,-555.896296296296,-1633.93258426966,185,23,-2975.32231404959,88,185,192,76,-103954,25,23,-160000,-3888.07407407407,-160000,178,22,93,135,58620.6092883154,2283.39439511364,-8000,-4792.88888888889,13640,,,,41847.5692688869,15
2449,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22461.0477642221,-55800,-3053.71428571429,,,,,,9
4504,0,1,1,0,1,19,-155553,21054.6462812704,19,21054.6462812704,-154553,-4000,-155553,-1900,1931.3207915828,3,-8134.36842105263,-8134.36842105263,19,9,-8641.83333333333,18,19,19,18,-5700,3,9,-87642,-1900,-87642,19,9,18,19,,4979.95328255482,-15262,,1000,,,,,7
2213,1,1,0,0,0,160,-499474,7170.55766662595,185,7054.07896519239,-205253,-45000,-542300,-7131.65384615385,12312.5816661004,28,-1397.99375,-1186.43352601156,185,18,-3619.3768115942,102,185,185,94,-185423,26,18,-45000,-6734.89285714286,-45000,173,17,108,160,29696.782468813,7236.28932797019,-20000,-6627.875,7200,,,,24558.805196236,11
3236,1,0,1,0,0,231,-134296,1655.52911264468,236,1646.68237035997,35664,-3000,-137286,-507.020408163265,624.912841609006,51,157.419913419913,153.724137931034,235,17,-674.854271356784,114,235,236,113,-24844,49,17,-18000,-528.313725490196,-18000,232,17,117,231,,185.908041784104,-500,,,1,-126,,1443.37567297406,10
4290,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.657579806513,-1932,-1707,,,,,,7
4128,0,0,0,1,0,49,-54638,2173.92059527147,51,2173.92059527147,-19901,-3216,-54744,-1723,2111.42084862303,2,-403.979591836735,-398.02,50,15,-1241.77272727273,30,50,51,29,-3446,2,15,-11000,-1723,-11000,50,15,30,49,8504.90054811538,2951.55642557166,-6000,,19500,,,,6580.27355054484,14
